FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
AGEY12Y13MCE,44032,44032,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4408,4408,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4409,4409,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4540,4540,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4541,4541,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4542,4542,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4549,4549,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,4570,4570,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,500,500,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,501,501,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,5165,5165,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,5710,5710,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,5711,5711,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,5712,5712,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,5713,5713,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60000,60000,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60001,60001,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60010,60010,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60011,60011,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60020,60020,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60021,60021,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6003,6003,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60090,60090,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60091,60091,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6010,6010,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6011,6011,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6012,6012,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6013,6013,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6014,6014,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6018,6018,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6019,6019,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6020,6020,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6021,6021,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6022,6022,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6028,6028,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6029,6029,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6060,6060,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6061,6061,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6068,6068,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6069,6069,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,60784,60784,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6101,6101,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,61181,61181,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,61182,61182,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,61183,61183,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6120,6120,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6121,6121,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,630,630,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6310,6310,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,6318,6318,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,632,632,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63300,63300,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63301,63301,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63310,63310,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63311,63311,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63320,63320,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63321,63321,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63380,63380,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63381,63381,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63390,63390,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63391,63391,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63400,63400,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63401,63401,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63402,63402,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63410,63410,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63411,63411,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63412,63412,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63420,63420,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63421,63421,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63422,63422,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63430,63430,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63431,63431,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63432,63432,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63440,63440,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63441,63441,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEY12Y13MCE,63442,63442,2,1,40,2,2,0,,0,,0,C,N,N,,,,,
